set_,card_name,rarity,mana_cost,color,type_,sub_type,power_,toughness,quantity,nm,lp,pl,foil,text_
Dragon's Maze,Dirty,Uncommon,{2}{G},g,Sorcery,0,0,0,2,2,0,0,0,"Return target card from your graveyard to your hand.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Far,Uncommon,{1}{U},u,Instant,0,0,0,2,2,0,0,0,"Return target creature to its owner's hand.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Away,Uncommon,{2}{B},b,Instant,0,0,0,2,2,0,0,0,"Target player sacrifices a creature.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Flesh,Rare,{3}{B}{G},bg,Sorcery,0,0,0,0,0,0,0,0,"Exile target creature card from a graveyard. Put X +1/+1 counters on target creature, where X is the power of the card you exiled.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Blood,Rare,{R}{G},gr,Sorcery,0,0,0,0,0,0,0,0,"Target creature you control deals damage equal to its power to target creature or player.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Give,Uncommon,{2}{G},g,Sorcery,0,0,0,2,1,1,0,0,"Put three +1/+1 counters on target creature.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Take,Uncommon,{2}{U},u,Sorcery,0,0,0,2,1,1,0,0,"Remove all +1/+1 counters from target creature you control. Draw that many cards.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Profit,Uncommon,{1}{W},w,Instant,0,0,0,0,0,0,0,0,"Creatures you control get +1/+1 until end of turn.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Loss,Uncommon,{2}{B},b,Instant,0,0,0,0,0,0,0,0,"Creatures your opponents control get -1/-1 until end of turn.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Protect,Uncommon,{2}{W},w,Instant,0,0,0,1,0,0,1,0,"Target creature gets +2/+4 until end of turn.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Serve,Uncommon,{1}{U},u,Instant,0,0,0,1,0,0,1,0,"Target creature gets -6/-0 until end of turn.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Ready,Rare,{1}{G}{W},gw,Instant,0,0,0,0,0,0,0,0,"Creatures you control gain indestructible until end of turn. Untap each creature you control.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Willing,Rare,{1}{W}{B},bw,Instant,0,0,0,0,0,0,0,0,"Creatures you control gain deathtouch and lifelink until end of turn.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Toil,Uncommon,{2}{B},b,Sorcery,0,0,0,0,0,0,0,0,"Target player draws two cards and loses 2 life.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Trouble,Uncommon,{2}{R},r,Sorcery,0,0,0,0,0,0,0,0,"Trouble deals damage to target player equal to the number of cards in that player's hand.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Turn,Uncommon,{2}{U},u,Instant,0,0,0,0,0,0,0,0,"Until end of turn, target creature loses all abilities and becomes a red Weird with base power and toughness 0/1.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Burn,Uncommon,{1}{R},r,Instant,0,0,0,0,0,0,0,0,"Burn deals 2 damage to target creature or player.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Wear,Uncommon,{1}{R},r,Instant,0,0,0,0,0,0,0,0,"Destroy target artifact.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Tear,Uncommon,{W},w,Instant,0,0,0,0,0,0,0,0,"Destroy target enchantment.
Fuse (You may cast one or both halves of this card from your hand.)"
Dragon's Maze,Azorius Cluestone,Common,{3},a,Artifact,0,0,0,1,0,1,0,0,"{T}: Add {W} or {U} to your mana pool.
{W}{U}, {T}, Sacrifice Azorius Cluestone: Draw a card."
Dragon's Maze,Boros Cluestone,Common,{3},a,Artifact,0,0,0,1,0,1,0,0,"{T}: Add {R} or {W} to your mana pool.
{R}{W}, {T}, Sacrifice Boros Cluestone: Draw a card."
Dragon's Maze,Dimir Cluestone,Common,{3},a,Artifact,0,0,0,2,0,2,0,0,"{T}: Add {U} or {B} to your mana pool.
{U}{B}, {T}, Sacrifice Dimir Cluestone: Draw a card."
Dragon's Maze,Golgari Cluestone,Common,{3},a,Artifact,0,0,0,1,0,1,0,0,"{T}: Add {B} or {G} to your mana pool.
{B}{G}, {T}, Sacrifice Golgari Cluestone: Draw a card."
Dragon's Maze,Gruul Cluestone,Common,{3},a,Artifact,0,0,0,3,0,3,0,0,"{T}: Add {R} or {G} to your mana pool.
{R}{G}, {T}, Sacrifice Gruul Cluestone: Draw a card."
Dragon's Maze,Izzet Cluestone,Common,{3},a,Artifact,0,0,0,1,0,1,0,0,"{T}: Add {U} or {R} to your mana pool.
{U}{R}, {T}, Sacrifice Izzet Cluestone: Draw a card."
Dragon's Maze,Orzhov Cluestone,Common,{3},a,Artifact,0,0,0,0,0,0,0,0,"{T}: Add {W} or {B} to your mana pool.
{W}{B}, {T}, Sacrifice Orzhov Cluestone: Draw a card."
Dragon's Maze,Rakdos Cluestone,Common,{3},a,Artifact,0,0,0,1,0,1,0,0,"{T}: Add {B} or {R} to your mana pool.
{B}{R}, {T}, Sacrifice Rakdos Cluestone: Draw a card."
Dragon's Maze,Selesnya Cluestone,Common,{3},a,Artifact,0,0,0,4,0,4,0,0,"{T}: Add {G} or {W} to your mana pool.
{G}{W}, {T}, Sacrifice Selesnya Cluestone: Draw a card."
Dragon's Maze,Simic Cluestone,Common,{3},a,Artifact,0,0,0,0,0,0,0,0,"{T}: Add {G} or {U} to your mana pool.
{G}{U}, {T}, Sacrifice Simic Cluestone: Draw a card."
Dragon's Maze,Azorius Guildgate,Common,0,uw,Land,0,0,0,0,0,0,0,0,"Azorius Guildgate enters the battlefield tapped.
{T}: Add {W} or {U} to your mana pool."
Dragon's Maze,Boros Guildgate,Common,0,rw,Land,0,0,0,0,0,0,0,0,"Boros Guildgate enters the battlefield tapped.
{T}: Add {R} or {W} to your mana pool."
Dragon's Maze,Dimir Guildgate,Common,0,bu,Land,0,0,0,0,0,0,0,0,"Dimir Guildgate enters the battlefield tapped.
{T}: Add {U} or {B} to your mana pool."
Dragon's Maze,Golgari Guildgate,Common,0,bg,Land,0,0,0,0,0,0,0,0,"Golgari Guildgate enters the battlefield tapped.
{T}: Add {B} or {G} to your mana pool."
Dragon's Maze,Gruul Guildgate,Common,0,gr,Land,0,0,0,0,0,0,0,0,"Gruul Guildgate enters the battlefield tapped.
{T}: Add {R} or {G} to your mana pool."
Dragon's Maze,Izzet Guildgate,Common,0,ur,Land,0,0,0,0,0,0,0,0,"Izzet Guildgate enters the battlefield tapped.
{T}: Add {U} or {R} to your mana pool."
Dragon's Maze,Maze's End,Mythic Rare,0,a,Land,0,0,0,0,0,0,0,0,"Maze's End enters the battlefield tapped.
{T}: Add {C} to your mana pool.
{3}, {T}, Return Maze's End to its owner's hand: Search your library for a Gate card, put it onto the battlefield, then shuffle your library. If you control ten or more Gates with different names, you win the game."
Dragon's Maze,Orzhov Guildgate,Common,0,bw,Land,0,0,0,0,0,0,0,0,"Orzhov Guildgate enters the battlefield tapped.
{T}: Add {W} or {B} to your mana pool."
Dragon's Maze,Rakdos Guildgate,Common,0,br,Land,0,0,0,0,0,0,0,0,"Rakdos Guildgate enters the battlefield tapped.
{T}: Add {B} or {R} to your mana pool."
Dragon's Maze,Selesnya Guildgate,Common,0,gw,Land,0,0,0,0,0,0,0,0,"Selesnya Guildgate enters the battlefield tapped.
{T}: Add {G} or {W} to your mana pool."
Dragon's Maze,Simic Guildgate,Common,0,ug,Land,0,0,0,0,0,0,0,0,"Simic Guildgate enters the battlefield tapped.
{T}: Add {G} or {U} to your mana pool."
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
