Set,Card Name,Rarity,Mana Cost,color,Type,sub_type,Power,Toughness,quantity,nm,lp,p,f,Text
Gatecrash,Alms Beast,Rare,{2}{W}{B},bw,Creature,beast,6,6,0,0,0,0,0,Creatures blocking or blocked by Alms Beast have lifelink.
Gatecrash,Assemble the Legion,Rare,{3}{R}{W},rw,Enchantment,0,0,0,0,0,0,0,0,"At the beginning of your upkeep, put a muster counter on Assemble the Legion. Then create a 1/1 red and white Soldier creature token with haste for each muster counter on Assemble the Legion."
Gatecrash,"Aurelia, the Warleader",Mythic Rare,{2}{R}{R}{W}{W},rw,Creature,angel,3,4,0,0,0,0,0,"Flying, vigilance, haste
Whenever Aurelia, the Warleader attacks for the first time each turn, untap all creatures you control. After this phase, there is an additional combat phase."
Gatecrash,Aurelia's Fury,Mythic Rare,{X}{R}{W},rw,Instant,0,0,0,0,0,0,0,0,Aurelia's Fury deals X damage divided as you choose among any number of target creatures and/or players. Tap each creature dealt damage this way. Players dealt damage this way can't cast noncreature spells this turn.
Gatecrash,Bane Alley Broker,Uncommon,{1}{U}{B},bu,Creature,"human, rogue",0,3,4,2,1,0,1,"{T}: Draw a card, then exile a card from your hand face down.
You may look at cards exiled with Bane Alley Broker.
{U}{B}, {T}: Return a card exiled with Bane Alley Broker to its owner's hand."
Gatecrash,Biovisionary,Rare,{1}{G}{U},ug,Creature,"human, wizard",2,3,0,0,0,0,0,"At the beginning of the end step, if you control four or more creatures named Biovisionary, you win the game."
Gatecrash,Borborygmos Enraged,Mythic Rare,{4}{R}{R}{G}{G},gr,Creature,cyclops,7,6,0,0,0,0,0,"Trample
Whenever Borborygmos Enraged deals combat damage to a player, reveal the top three cards of your library. Put all land cards revealed this way into your hand and the rest into your graveyard.
Discard a land card: Borborygmos Enraged deals 3 damage to target creature or player."
Gatecrash,Boros Charm,Uncommon,{R}{W},rw,Instant,0,0,0,0,0,0,0,0,"Choose one â€”
â€¢ Boros Charm deals 4 damage to target player.
â€¢ Permanents you control gain indestructible until end of turn.
â€¢ Target creature gains double strike until end of turn."
Gatecrash,Call of the Nightwing,Uncommon,{2}{U}{B},bu,Sorcery,0,0,0,1,0,1,0,0,"Create a 1/1 blue and black Horror creature token with flying.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)"
Gatecrash,Cartel Aristocrat,Uncommon,{W}{B},bw,Creature,"human, advisor",2,2,2,2,0,0,0,Sacrifice another creature: Cartel Aristocrat gains protection from the color of your choice until end of turn.
Gatecrash,Clan Defiance,Rare,{X}{R}{G},gr,Sorcery,0,0,0,0,0,0,0,0,"Choose one or more â€”
â€¢ Clan Defiance deals X damage to target creature with flying.
â€¢ Clan Defiance deals X damage to target creature without flying.
â€¢ Clan Defiance deals X damage to target player."
Gatecrash,Consuming Aberration,Rare,{3}{U}{B},bu,Creature,horror,0,0,0,0,0,0,0,"Consuming Aberration's power and toughness are each equal to the number of cards in your opponents' graveyards.
Whenever you cast a spell, each opponent reveals cards from the top of his or her library until he or she reveals a land card, then puts those cards into his or her graveyard."
Gatecrash,Deathpact Angel,Mythic Rare,{3}{W}{B}{B},bw,Creature,angel,5,5,1,1,0,0,0,"Flying
When Deathpact Angel dies, create a 1/1 white and black Cleric creature token. It has ""{3}{W}{B}{B}, {T}, Sacrifice this creature: Return a card named Deathpact Angel from your graveyard to the battlefield."""
Gatecrash,Dimir Charm,Uncommon,{U}{B},bu,Instant,0,0,0,2,1,1,0,0,"Choose one â€”
â€¢ Counter target sorcery spell.
â€¢ Destroy target creature with power 2 or less.
â€¢ Look at the top three cards of target player's library. Put one back and the rest into that player's graveyard."
Gatecrash,Dinrova Horror,Uncommon,{4}{U}{B},bu,Creature,horror,4,4,0,0,0,0,0,"When Dinrova Horror enters the battlefield, return target permanent to its owner's hand, then that player discards a card."
Gatecrash,Domri Rade,Mythic Rare,{1}{R}{G},gr,Planeswalker,domri,0,0,0,0,0,0,0,"+1: Look at the top card of your library. If it's a creature card, you may reveal it and put it into your hand.
âˆ’2: Target creature you control fights another target creature.
âˆ’7: You get an emblem with ""Creatures you control have double strike, trample, hexproof, and haste."""
Gatecrash,Drakewing Krasis,Common,{1}{G}{U},ug,Creature,"lizard, drake",3,1,7,0,6,1,0,"Flying, trample"
Gatecrash,Duskmantle Guildmage,Uncommon,{U}{B},bu,Creature,"human, wizard",2,2,0,0,0,0,0,"{1}{U}{B}: Whenever a card is put into an opponent's graveyard from anywhere this turn, that player loses 1 life.
{2}{U}{B}: Target player puts the top two cards of his or her library into his or her graveyard."
Gatecrash,Duskmantle Seer,Mythic Rare,{2}{U}{B},bu,Creature,"vampire, wizard",4,4,0,0,0,0,0,"Flying
At the beginning of your upkeep, each player reveals the top card of his or her library, loses life equal to that card's converted mana cost, then puts it into his or her hand."
Gatecrash,Elusive Krasis,Uncommon,{1}{G}{U},ug,Creature,"fish, mutant",0,4,3,1,1,1,0,"Elusive Krasis can't be blocked.
Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)"
Gatecrash,Executioner's Swing,Common,{W}{B},bw,Instant,0,0,0,3,0,3,0,0,Target creature that dealt damage this turn gets -5/-5 until end of turn.
Gatecrash,Fathom Mage,Rare,{2}{G}{U},ug,Creature,"human, wizard",1,1,0,0,0,0,0,"Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)
Whenever a +1/+1 counter is put on Fathom Mage, you may draw a card."
Gatecrash,Firemane Avenger,Rare,{2}{R}{W},rw,Creature,angel,3,3,0,0,0,0,0,"Flying
Battalion â€” Whenever Firemane Avenger and at least two other creatures attack, Firemane Avenger deals 3 damage to target creature or player and you gain 3 life."
Gatecrash,Fortress Cyclops,Uncommon,{3}{R}{W},rw,Creature,"cyclops, soldier",3,3,0,0,0,0,0,"Whenever Fortress Cyclops attacks, it gets +3/+0 until end of turn.
Whenever Fortress Cyclops blocks, it gets +0/+3 until end of turn."
Gatecrash,Foundry Champion,Rare,{4}{R}{W},rw,Creature,"elemental, soldier",4,4,0,0,0,0,0,"When Foundry Champion enters the battlefield, it deals damage to target creature or player equal to the number of creatures you control.
{R}: Foundry Champion gets +1/+0 until end of turn.
{W}: Foundry Champion gets +0/+1 until end of turn."
Gatecrash,Frenzied Tilling,Uncommon,{3}{R}{G},gr,Sorcery,0,0,0,1,1,0,0,0,Destroy target land. Search your library for a basic land card and put that card onto the battlefield tapped. Then shuffle your library.
Gatecrash,Ghor-Clan Rampager,Uncommon,{2}{R}{G},gr,Creature,beast,4,4,0,0,0,0,0,"Trample
Bloodrush â€” {R}{G}, Discard Ghor-Clan Rampager: Target attacking creature gets +4/+4 and gains trample until end of turn."
Gatecrash,Ground Assault,Uncommon,{R}{G},gr,Sorcery,0,0,0,1,1,0,0,0,Ground Assault deals damage to target creature equal to the number of lands you control.
Gatecrash,Gruul Charm,Uncommon,{R}{G},gr,Instant,0,0,0,2,2,0,0,0,"Choose one â€”
â€¢ Creatures without flying can't block this turn.
â€¢ Gain control of all permanents you own.
â€¢ Gruul Charm deals 3 damage to each creature with flying."
Gatecrash,Gruul Ragebeast,Rare,{5}{R}{G},gr,Creature,beast,6,6,0,0,0,0,0,"Whenever Gruul Ragebeast or another creature enters the battlefield under your control, that creature fights target creature an opponent controls."
Gatecrash,High Priest of Penance,Rare,{W}{B},bw,Creature,"human, cleric",1,1,1,1,0,0,0,"Whenever High Priest of Penance is dealt damage, you may destroy target nonland permanent."
Gatecrash,Hydroform,Common,{G}{U},ug,Instant,0,0,0,2,0,2,0,0,Target land becomes a 3/3 Elemental creature with flying until end of turn. It's still a land.
Gatecrash,Kingpin's Pet,Common,{1}{W}{B},bw,Creature,thrull,2,2,10,5,5,0,0,"Flying
Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)"
Gatecrash,"Lazav, Dimir Mastermind",Mythic Rare,{U}{U}{B}{B},bu,Creature,shapeshifter,3,3,0,0,0,0,0,"Hexproof
Whenever a creature card is put into an opponent's graveyard from anywhere, you may have Lazav, Dimir Mastermind become a copy of that card, except its name is still Lazav, Dimir Mastermind, it's legendary in addition to its other types, and it gains hexproof and this ability."
Gatecrash,Martial Glory,Common,{R}{W},rw,Instant,0,0,0,1,0,0,0,0,"Target creature gets +3/+0 until end of turn.
Target creature gets +0/+3 until end of turn."
Gatecrash,Master Biomancer,Mythic Rare,{2}{G}{U},ug,Creature,"elf, wizard",2,4,0,0,0,0,0,Each other creature you control enters the battlefield with a number of additional +1/+1 counters on it equal to Master Biomancer's power and as a Mutant in addition to its other types.
Gatecrash,Merciless Eviction,Rare,{4}{W}{B},bw,Sorcery,0,0,0,0,0,0,0,0,"Choose one â€”
â€¢ Exile all artifacts.
â€¢ Exile all creatures.
â€¢ Exile all enchantments.
â€¢ Exile all planeswalkers."
Gatecrash,Mind Grind,Rare,{X}{U}{B},bu,Sorcery,0,0,0,0,0,0,0,0,"Each opponent reveals cards from the top of his or her library until he or she reveals X land cards, then puts all cards revealed this way into his or her graveyard. X can't be 0."
Gatecrash,Mortus Strider,Common,{1}{U}{B},bu,Creature,skeleton,1,1,7,2,5,0,0,"When Mortus Strider dies, return it to its owner's hand."
Gatecrash,Mystic Genesis,Rare,{2}{G}{U}{U},ug,Instant,0,0,0,1,1,0,0,0,"Counter target spell. Create an X/X green Ooze creature token, where X is that spell's converted mana cost."
Gatecrash,Nimbus Swimmer,Uncommon,{X}{G}{U},ug,Creature,0,0,0,5,2,2,1,0,"Flying
Nimbus Swimmer enters the battlefield with X +1/+1 counters on it."
Gatecrash,"Obzedat, Ghost Council",Mythic Rare,{1}{W}{W}{B}{B},bw,Creature,"spirit, advisor",5,5,0,0,0,0,0,"When Obzedat, Ghost Council enters the battlefield, target opponent loses 2 life and you gain 2 life.
At the beginning of your end step, you may exile Obzedat. If you do, return it to the battlefield under its owner's control at the beginning of your next upkeep. It gains haste."
Gatecrash,One Thousand Lashes,Uncommon,{2}{W}{B},bw,Enchantment,0,0,0,2,2,0,0,0,"Enchant creature
Enchanted creature can't attack or block, and its activated abilities can't be activated.
At the beginning of the upkeep of enchanted creature's controller, that player loses 1 life."
Gatecrash,Ordruun Veteran,Uncommon,{2}{R}{W},rw,Creature,"minotaur, soldier",3,1,0,0,0,0,0,"Battalion â€” Whenever Ordruun Veteran and at least two other creatures attack, Ordruun Veteran gains double strike until end of turn. (It deals both first-strike and regular combat damage.)"
Gatecrash,Orzhov Charm,Uncommon,{W}{B},bw,Instant,0,0,0,2,2,0,0,0,"Choose one â€”
â€¢ Return target creature you control and all Auras you control attached to it to their owner's hand.
â€¢ Destroy target creature and you lose life equal to its toughness.
â€¢ Return target creature card with converted mana cost 1 or less from your graveyard to the battlefield."
Gatecrash,Paranoid Delusions,Common,{U}{B},bu,Sorcery,0,0,0,3,0,3,0,0,"Target player puts the top three cards of his or her library into his or her graveyard.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)"
Gatecrash,Primal Visitation,Common,{3}{R}{G},gr,Enchantment,0,0,0,1,0,1,0,0,"Enchant creature
Enchanted creature gets +3/+3 and has haste."
Gatecrash,Prime Speaker Zegana,Mythic Rare,{2}{G}{G}{U}{U},ug,Creature,"merfolk, wizard",1,1,0,0,0,0,0,"Prime Speaker Zegana enters the battlefield with X +1/+1 counters on it, where X is the greatest power among other creatures you control.
When Prime Speaker Zegana enters the battlefield, draw cards equal to its power."
Gatecrash,Psychic Strike,Common,{1}{U}{B},bu,Instant,0,0,0,3,0,3,0,0,Counter target spell. Its controller puts the top two cards of his or her library into his or her graveyard.
Gatecrash,Purge the Profane,Common,{2}{W}{B},bw,Sorcery,0,0,0,1,0,1,0,0,Target opponent discards two cards and you gain 2 life.
Gatecrash,Rubblehulk,Rare,{4}{R}{G},gr,Creature,elemental,0,0,0,0,0,0,0,"Rubblehulk's power and toughness are each equal to the number of lands you control.
Bloodrush â€” {1}{R}{G}, Discard Rubblehulk: Target attacking creature gets +X/+X until end of turn, where X is the number of lands you control."
Gatecrash,Ruination Wurm,Common,{4}{R}{G},gr,Creature,wurm,7,6,3,0,3,0,0,
Gatecrash,Shambleshark,Common,{G}{U},ug,Creature,"fish, crab",2,1,3,0,3,0,0,"Flash (You may cast this spell any time you could cast an instant.)
Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)"
Gatecrash,Signal the Clans,Rare,{R}{G},gr,Instant,0,0,0,0,0,0,0,0,"Search your library for three creature cards and reveal them. If you reveal three cards with different names, choose one of them at random and put that card into your hand. Shuffle the rest into your library."
Gatecrash,Simic Charm,Uncommon,{G}{U},ug,Instant,0,0,0,2,1,0,1,0,"Choose one â€”
â€¢ Target creature gets +3/+3 until end of turn.
â€¢ Permanents you control gain hexproof until end of turn.
â€¢ Return target creature to its owner's hand."
Gatecrash,Skarrg Guildmage,Uncommon,{R}{G},gr,Creature,"human, shaman",2,2,1,1,0,0,0,"{R}{G}: Creatures you control gain trample until end of turn.
{1}{R}{G}: Target land you control becomes a 4/4 Elemental creature until end of turn. It's still a land."
Gatecrash,Skyknight Legionnaire,Common,{1}{R}{W},rw,Creature,human knight,2,2,0,0,0,0,0,"Flying, haste"
Gatecrash,Soul Ransom,Rare,{2}{U}{B},bu,Enchantment,0,0,0,0,0,0,0,0,"Enchant creature
You control enchanted creature.
Discard two cards: Soul Ransom's controller sacrifices it, then draws two cards. Only any opponent may activate this ability."
Gatecrash,Spark Trooper,Rare,{1}{R}{R}{W},rw,Creature,"elemental, soldier",6,1,0,0,0,0,0,"Trample, lifelink, haste
At the beginning of the end step, sacrifice Spark Trooper."
Gatecrash,Sunhome Guildmage,Uncommon,{R}{W},rw,Creature,"human, wizard",2,2,2,1,1,0,0,"{1}{R}{W}: Creatures you control get +1/+0 until end of turn.
{2}{R}{W}: Create a 1/1 red and white Soldier creature token with haste."
Gatecrash,Treasury Thrull,Rare,{4}{W}{B},bw,Creature,thrull,4,4,1,1,0,0,0,"Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)
Whenever Treasury Thrull attacks, you may return target artifact, creature, or enchantment card from your graveyard to your hand."
Gatecrash,Truefire Paladin,Uncommon,{R}{W},rw,Creature,"human, knight",2,2,3,0,3,0,0,"Vigilance
{R}{W}: Truefire Paladin gets +2/+0 until end of turn.
{R}{W}: Truefire Paladin gains first strike until end of turn."
Gatecrash,Unexpected Results,Rare,{2}{G}{U},ug,Sorcery,0,0,0,0,0,0,0,0,"Shuffle your library, then reveal the top card. If it's a nonland card, you may cast it without paying its mana cost. If it's a land card, you may put it onto the battlefield and return Unexpected Results to its owner's hand."
Gatecrash,Urban Evolution,Uncommon,{3}{G}{U},ug,Sorcery,0,0,0,4,1,1,2,0,Draw three cards. You may play an additional land this turn.
Gatecrash,Vizkopa Confessor,Uncommon,{3}{W}{B},bw,Creature,"human, cleric",1,3,0,0,0,0,0,"Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)
When Vizkopa Confessor enters the battlefield, pay any amount of life. Target opponent reveals that many cards from his or her hand. You choose one of them and exile it."
Gatecrash,Vizkopa Guildmage,Uncommon,{W}{B},bw,Creature,"human, wizard",2,2,0,0,0,0,0,"{1}{W}{B}: Target creature gains lifelink until end of turn.
{1}{W}{B}: Whenever you gain life this turn, each opponent loses that much life."
Gatecrash,Whispering Madness,Rare,{2}{U}{B},bu,Sorcery,0,0,,0,0,0,0,0,"Each player discards his or her hand, then draws cards equal to the greatest number of cards a player discarded this way.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)"
Gatecrash,Wojek Halberdiers,Common,{R}{W},rw,Creature,"human, soldier",3,2,2,0,2,0,0,"Battalion â€” Whenever Wojek Halberdiers and at least two other creatures attack, Wojek Halberdiers gains first strike until end of turn."
Gatecrash,Zameck Guildmage,Uncommon,{G}{U},ug,Creature,"elf, wizard",2,2,2,1,1,0,0,"{G}{U}: This turn, each creature you control enters the battlefield with an additional +1/+1 counter on it.
{G}{U}, Remove a +1/+1 counter from a creature you control: Draw a card."
Gatecrash,Zhur-Taa Swine,Common,{3}{R}{G},gr,Creature,boar,5,4,3,0,3,0,0,"Bloodrush â€” {1}{R}{G}, Discard Zhur-Taa Swine: Target attacking creature gets +5/+4 until end of turn."
Gatecrash,Arrows of Justice,Uncommon,{2}{R/W},rw,Instant,0,0,0,1,1,0,0,0,Arrows of Justice deals 4 damage to target attacking or blocking creature.
Gatecrash,Beckon Apparition,Common,{W/B},bw,Instant,0,0,0,1,0,1,0,0,Exile target card from a graveyard. Create a 1/1 white and black Spirit creature token with flying.
Gatecrash,Biomass Mutation,Rare,{X}{G/U}{G/U},ug,Instant,0,0,0,0,0,0,0,0,Creatures you control have base power and toughness X/X until end of turn.
Gatecrash,Bioshift,Common,{G/U},ug,Instant,0,0,0,4,0,4,0,0,Move any number of +1/+1 counters from target creature onto another target creature with the same controller.
Gatecrash,Boros Reckoner,Rare,{R/W}{R/W}{R/W},rw,Creature,"minotuar, wizard",3,3,0,0,0,0,0,"Whenever Boros Reckoner is dealt damage, it deals that much damage to target creature or player.
{R/W}: Boros Reckoner gains first strike until end of turn."
Gatecrash,Burning-Tree Emissary,Uncommon,{R/G}{R/G},gr,Creature,"human, shaman",2,2,1,1,0,0,0,"When Burning-Tree Emissary enters the battlefield, add {R}{G} to your mana pool."
Gatecrash,Coerced Confession,Uncommon,{4}{U/B},bu,Sorcery,0,0,0,0,0,0,0,0,Target player puts the top four cards of his or her library into his or her graveyard. You draw a card for each creature card put into that graveyard this way.
Gatecrash,Deathcult Rogue,Common,{1}{U/B}{U/B},bu,Creature,"human, rogue",2,2,2,0,2,0,0,Deathcult Rogue can't be blocked except by Rogues.
Gatecrash,Gift of Orzhova,Uncommon,{1}{W/B}{W/B},bw,Enchantment,0,0,0,2,2,0,0,0,"Enchant creature
Enchanted creature gets +1/+1 and has flying and lifelink."
Gatecrash,Immortal Servitude,Rare,{X}{W/B}{W/B}{W/B},bw,Sorcery,0,0,0,0,0,0,0,0,Return each creature card with converted mana cost X from your graveyard to the battlefield.
Gatecrash,Merfolk of the Depths,Uncommon,{4}{G/U}{G/U},ug,Creature,"merfolk, soldier",4,2,1,1,0,0,0,Flash (You may cast this spell any time you could cast an instant.)
Gatecrash,Nightveil Specter,Rare,{U/B}{U/B}{U/B},bu,Creature,specter,2,3,0,0,0,0,0,"Flying
Whenever Nightveil Specter deals combat damage to a player, that player exiles the top card of his or her library.
You may play cards exiled with Nightveil Specter."
Gatecrash,Pit Fight,Common,{1}{R/G},gr,Instant,0,0,0,2,0,2,0,0,Target creature you control fights another target creature. (Each deals damage equal to its power to the other.)
Gatecrash,Rubblebelt Raiders,Rare,{1}{R/G}{R/G}{R/G},gr,Creature,"human, warrior",3,3,0,0,0,0,0,"Whenever Rubblebelt Raiders attacks, put a +1/+1 counter on it for each attacking creature you control."
Gatecrash,Shattering Blow,Common,{1}{R/W},rw,Instant,0,0,0,1,0,1,0,0,Exile target artifact.
Gatecrash,Armored Transport,Common,{3},a,Artifact,0,0,0,1,0,1,0,0,Prevent all combat damage that would be dealt to Armored Transport by creatures blocking it.
Gatecrash,Boros Keyrune,Uncommon,{3},a,Artifact,0,0,0,2,1,1,0,0,"{T}: Add {R} or {W} to your mana pool.
{R}{W}: Boros Keyrune becomes a 1/1 red and white Soldier artifact creature with double strike until end of turn. (It deals both first-strike and regular combat damage.)"
Gatecrash,Dimir Keyrune,Uncommon,{3},a,Artifact,0,0,0,0,0,0,0,0,"{T}: Add {U} or {B} to your mana pool.
{U}{B}: Dimir Keyrune becomes a 2/2 blue and black Horror artifact creature until end of turn and can't be blocked this turn."
Gatecrash,Glaring Spotlight,Rare,{1},a,Artifact,0,0,0,0,0,0,0,0,"Creatures your opponents control with hexproof can be the targets of spells and abilities you control as though they didn't have hexproof.
{3}, Sacrifice Glaring Spotlight: Creatures you control gain hexproof until end of turn and can't be blocked this turn."
Gatecrash,Gruul Keyrune,Uncommon,{3},a,Artifact,0,0,0,2,2,0,0,0,"{T}: Add {R} or {G} to your mana pool.
{R}{G}: Gruul Keyrune becomes a 3/2 red and green Beast artifact creature with trample until end of turn."
Gatecrash,Illusionist's Bracers,Rare,{2},a,Artifact,0,0,0,0,0,0,0,0,"Whenever an ability of equipped creature is activated, if it isn't a mana ability, copy that ability. You may choose new targets for the copy.
Equip {3}"
Gatecrash,Millennial Gargoyle,Common,{4},a,Artifact,0,0,0,3,0,3,0,0,Flying
Gatecrash,Orzhov Keyrune,Uncommon,{3},a,Artifact,0,0,0,1,1,0,0,0,"{T}: Add {W} or {B} to your mana pool.
{W}{B}: Orzhov Keyrune becomes a 1/4 white and black Thrull artifact creature with lifelink until end of turn."
Gatecrash,Prophetic Prism,Common,{2},a,Artifact,0,0,0,3,0,3,0,0,"When Prophetic Prism enters the battlefield, draw a card.
{1}, {T}: Add one mana of any color to your mana pool."
Gatecrash,Razortip Whip,Common,{2},a,Artifact,0,0,0,1,0,1,0,0,"{1}, {T}: Razortip Whip deals 1 damage to target opponent."
Gatecrash,Riot Gear,Common,{2},a,Artifact,0,0,0,3,0,2,1,0,"Equipped creature gets +1/+2.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)"
Gatecrash,Simic Keyrune,Uncommon,{3},a,Artifact,0,0,0,2,2,0,0,0,"{T}: Add {G} or {U} to your mana pool.
{G}{U}: Simic Keyrune becomes a 2/3 green and blue Crab artifact creature with hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)"
Gatecrash,Skyblinder Staff,Common,{1},a,Artifact,0,0,0,1,1,0,0,0,"Equipped creature gets +1/+0 and can't be blocked by creatures with flying.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)"
Gatecrash,Boros Guildgate,Common,0,rw,Land,0,0,0,0,0,0,0,0,"Boros Guildgate enters the battlefield tapped.
{T}: Add {R} or {W} to your mana pool."
Gatecrash,Breeding Pool,Rare,0,ug,Land,0,0,0,0,0,0,0,0,"({T}: Add {G} or {U} to your mana pool.)
As Breeding Pool enters the battlefield, you may pay 2 life. If you don't, Breeding Pool enters the battlefield tapped."
Gatecrash,Dimir Guildgate,Common,0,bu,Land,0,0,0,0,0,0,0,0,"Dimir Guildgate enters the battlefield tapped.
{T}: Add {U} or {B} to your mana pool."
Gatecrash,Godless Shrine,Rare,0,bw,Land,0,0,0,0,0,0,0,0,"({T}: Add {W} or {B} to your mana pool.)
As Godless Shrine enters the battlefield, you may pay 2 life. If you don't, Godless Shrine enters the battlefield tapped."
Gatecrash,Gruul Guildgate,Common,0,gr,Land,0,0,0,0,0,0,0,0,"Gruul Guildgate enters the battlefield tapped.
{T}: Add {R} or {G} to your mana pool."
Gatecrash,Orzhov Guildgate,Common,0,bw,Land,0,0,0,0,0,0,0,0,"Orzhov Guildgate enters the battlefield tapped.
{T}: Add {W} or {B} to your mana pool."
Gatecrash,Sacred Foundry,Rare,0,rw,Land,0,0,0,0,0,0,0,0,"({T}: Add {R} or {W} to your mana pool.)
As Sacred Foundry enters the battlefield, you may pay 2 life. If you don't, Sacred Foundry enters the battlefield tapped."
Gatecrash,Simic Guildgate,Common,0,ug,Land,0,0,0,0,0,0,0,0,"Simic Guildgate enters the battlefield tapped.
{T}: Add {G} or {U} to your mana pool."
Gatecrash,Stomping Ground,Rare,0,gr,Land,0,0,0,0,0,0,0,0,"({T}: Add {R} or {G} to your mana pool.)
As Stomping Ground enters the battlefield, you may pay 2 life. If you don't, Stomping Ground enters the battlefield tapped."
Gatecrash,Thespian's Stage,Rare,0,a,Land,0,0,0,0,0,0,0,0,"{T}: Add {C} to your mana pool.
{2}, {T}: Thespian's Stage becomes a copy of target land and gains this ability."
Gatecrash,Watery Grave,Rare,0,bu,Land,0,0,0,0,0,0,0,0,"({T}: Add {U} or {B} to your mana pool.)
As Watery Grave enters the battlefield, you may pay 2 life. If you don't, Watery Grave enters the battlefield tapped."
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
